"Merged_UNITs","DATACLASS","Frequency","Percentage"
0,"Complete",117,57.0731707317073
0,"Fragment",30,14.6341463414634
0,"Prox",23,11.219512195122
0,"Dist",13,6.34146341463415
0,"Dist+prox",7,3.41463414634146
0,"Lat",7,3.41463414634146
0,"Prox + lat",4,1.95121951219512
0,"Both lat",2,0.975609756097561
0,"Dist+lat",2,0.975609756097561
1,"Complete",216,58.5365853658537
1,"Fragment",50,13.550135501355
1,"Prox",37,10.0271002710027
1,"Dist",28,7.58807588075881
1,"Lat",17,4.6070460704607
1,"Dist+prox",13,3.5230352303523
1,"Dist+lat",5,1.3550135501355
1,"Prox + lat",3,0.813008130081301
2,"Complete",94,59.1194968553459
2,"Prox",22,13.8364779874214
2,"Dist",19,11.9496855345912
2,"Fragment",11,6.91823899371069
2,"Lat",4,2.51572327044025
2,"Dist+prox",3,1.88679245283019
2,"Prox + lat",3,1.88679245283019
2,"Dist+lat",2,1.25786163522013
2,"Both lat",1,0.628930817610063
3,"Complete",398,61.5146831530139
3,"Fragment",72,11.12828438949
3,"Prox",67,10.355486862442
3,"Dist",43,6.64605873261206
3,"Lat",27,4.17310664605873
3,"Prox + lat",17,2.62751159196291
3,"Dist+prox",15,2.31839258114374
3,"Dist+lat",8,1.23647604327666
4,"Complete",221,63.6887608069164
4,"Prox",35,10.0864553314121
4,"Fragment",32,9.22190201729107
4,"Dist",18,5.18731988472623
4,"Lat",17,4.89913544668588
4,"Dist+prox",10,2.88184438040346
4,"Prox + lat",10,2.88184438040346
4,"Dist+lat",3,0.864553314121038
4,"Both lat",1,0.288184438040346
